id,hinban,item,description,remarks,unit,uprice,ouritem,vol,zaiko,kento,hcode,cat
3355,"TF962-07 11060A1","TF962-07 11060A1","布地11060A1","",pcs,"","","",0,0,"",""
3356,"TF962-07 11060J1","TF962-07 11060J1","布地11060J1","",pcs,"","","",0,0,"",""
3357,"TF962-07 11060J1","TF962-07 11060J1","布地11060J1","CU35同梱(布地=11060JI)",pcs,"","","",0,0,"",""
3358,"TF962-07 11060J2","TF962-07 11060J2","布地11060J2","",pcs,"","","",0,0,"",""
3359,"TF962-07 CHILI01","TF962-20R CHILI01","CU35、1個同梱 クッション布地CHILI01","",pcs,"","","",0,0,"",""
3360,"TF962-07 CHILI17","TF962-20R CHILI17","CU35、1個同梱 クッション布地CHILI17","",pcs,"","","",0,0,"",""
3361,"TF962-07 FIT/BE","TF962-20R FIT/BE","","",pcs,"","","",0,0,"",""
3362,"TF962-07 FIT/DBR","TF962-20R FIT/DBR","","",pcs,"","","",0,0,"",""
3363,"TF962-07 FIT/DGY","TF962-20R FIT/DGY","","",pcs,"","","",0,0,"",""
3364,"TF962-07 FIT/GRY","TF962-20R FIT/GRY","","",pcs,"","","",0,0,"",""
3365,"TF962-07 SN/01","TF962-07 CHILI01","布地 CHILI01","CU35同梱(布地=CHILI01)",pcs,"","","",0,0,"",""
3366,"TF962-07 SN/02","TF962-07 CHILI17","布地 CHILI17","CU35同梱(布地=CHILI17)",pcs,"","",1.0,0,0,"",""
3367,"TF962-07 SN/03","TF962-07 CHILI25","布地 CHILI25","CU35同梱(布地=CHILI25)",pcs,"","","",0,0,"",""
3368,"TF962-07 SP/140","TF962-07 SP/140","布地SP/140 ","CU35同梱=SP/140",pcs,"","","",0,0,"",""
3369,"TF962-07 SP/146","TF962-20R SP/146","","",pcs,"","","",0,0,"",""
3370,"TF962-07 SP/146","TF962-07 SP/146","布地SP/146 ","CU35同梱=SP/146",pcs,"","","",0,0,"",""
3371,"TF962-07 SP/156","TF962-20R SP/156","","",pcs,"","","",0,0,"",""
3372,"TF962-35 11060A1","TF962-35 11060A1","布地11060A1","",pcs,"","","",0,0,"",""
3373,"TF962-35 11060J1","TF962-35 11060J1","布地11060J1","",pcs,"","","",0,0,"",""
3374,"TF962-35 11060J2","TF962-35 11060J2","布地11060J2","",pcs,"","","",0,0,"",""
3375,"TF962-35 FIT/BE","TF962-35 FIT/BE","","",pcs,"","","",0,0,"",""
3376,"TF962-35 FIT/DBR","TF962-35 FIT/DBR","","",pcs,"","","",0,0,"",""
3377,"TF962-35 FIT/DGY","TF962-35 FIT/DGY","","",pcs,"","","",0,0,"",""
3378,"TF962-35 FIT/GRY","TF962-35 FIT/GRY","","",pcs,"","","",0,0,"",""
3379,"TF962-35 SP/140","TF962-35 SP/140","布地SP/140 ","TF962-06 同梱=SP/140",pcs,"","","",0,0,"",""
3380,"TF962-35 SP/140","TF962-35 SP/140","布地SP/140 ","TF962-07 同梱=SP/140",pcs,"","","",0,0,"",""
3381,"TF962-35 SP/140","TF962-35 SP/140","布地SP/140 ","TF962-49 同梱=SP/140",pcs,"","","",0,0,"",""
3382,"TF962-35 SP/140","TF962-35 SP/140","布地SP/140 ","TF962-50 同梱=SP/140",pcs,"","","",0,0,"",""
3383,"TF962-35 SP/146","TF962-35 SP/146","","",pcs,"","","",0,0,"",""
3384,"TF962-35 SP/146","TF962-35 SP/146","布地SP/146 ","TF962-06 同梱=SP/146",pcs,"","","",0,0,"",""
3385,"TF962-35 SP/146","TF962-35 SP/146","布地SP/146 ","TF962-07 同梱=SP/146",pcs,"","","",0,0,"",""
3386,"TF962-35 SP/146","TF962-35 SP/146","布地SP/146 ","TF962-49 同梱=SP/146",pcs,"","","",0,0,"",""
3387,"TF962-35 SP/146","TF962-35 SP/146","布地SP/146 ","TF962-50 同梱=SP/146",pcs,"","","",0,0,"",""
3388,"TF962-35 SP/156","TF962-35 SP/156","","",pcs,"","","",0,0,"",""
3389,"TF962-49 11060A1","TF962-49 11060A1","布地11060A1","",pcs,"","","",0,0,"",""
3390,"TF962-49 11060J1","TF962-49 11060J1","布地11060J1","",pcs,"","","",0,0,"",""
3391,"TF962-49 11060J1","TF962-49 11060J1","布地11060J1","CU35同梱(布地=11060JI)",pcs,"","","",0,0,"",""
3392,"TF962-49 11060J2","TF962-49 11060J2","布地11060J2","",pcs,"","","",0,0,"",""
3393,"TF962-49 CHILI01","TF962-11L CHILI01","CU35、1個同梱 クッション布地CHILI01","",pcs,"","","",0,0,"",""
3394,"TF962-49 CHILI17","TF962-11L CHILI17","CU35、1個同梱 クッション布地CHILI17","",pcs,"","","",0,0,"",""
3395,"TF962-49 FIT/BE","TF962-11L FIT/BE","","",pcs,"","","",0,0,"",""
3396,"TF962-49 FIT/DBR","TF962-11L FIT/DBR","","",pcs,"","","",0,0,"",""
3397,"TF962-49 FIT/DGY","TF962-11L FIT/DGY","","",pcs,"","","",0,0,"",""
3398,"TF962-49 FIT/GRY","TF962-11L FIT/GRY","","",pcs,"","","",0,0,"",""
3399,"TF962-49 SN/01","TF962-49 CHILI01","布地 CHILI01","CU35同梱(布地=CHILI01)",pcs,"","","",0,0,"",""
3400,"TF962-49 SN/02","TF962-49 CHILI17","布地 CHILI17","CU35同梱(布地=CHILI17)",pcs,"","",1.0,0,0,"",""
3401,"TF962-49 SN/03","TF962-49 CHILI25","布地 CHILI25","CU35同梱(布地=CHILI25)",pcs,"","","",0,0,"",""
3402,"TF962-49 SP/140","TF962-49 SP/140","布地SP/140 ","CU35同梱=SP/140",pcs,"","","",0,0,"",""
3403,"TF962-49 SP/146","TF962-11L SP/146","","",pcs,"","","",0,0,"",""
3404,"TF962-49 SP/146","TF962-49 SP/146","布地SP/146 ","CU35同梱=SP/146",pcs,"","","",0,0,"",""
3405,"TF962-49 SP/156","TF962-11L SP/156","","",pcs,"","","",0,0,"",""
3406,"TF962-50 11060A1","TF962-50 11060A1","布地11060A1","",pcs,"","","",0,0,"",""
3407,"TF962-50 11060J1","TF962-50 11060J1","布地11060J1","",pcs,"","","",0,0,"",""
3408,"TF962-50 11060J1","TF962-50 11060J1","布地11060J1","CU35同梱(布地=11060JI)",pcs,"","","",0,0,"",""
3409,"TF962-50 11060J2","TF962-50 11060J2","布地11060J2","",pcs,"","","",0,0,"",""
3410,"TF962-50 CHILI01","TF962-11R CHILI01","CU35、1個同梱 クッション布地CHILI01","",pcs,"","","",0,0,"",""
3411,"TF962-50 CHILI17","TF962-11R CHILI17","CU35、1個同梱 クッション布地CHILI17","",pcs,"","","",0,0,"",""
3412,"TF962-50 FIT/BE","TF962-11R FIT/BE","","",pcs,"","","",0,0,"",""
